Canonical SMILES,Charge,name,Permeability coefficient,Accum_class
O=C(OC)[C@H]1[C@@H]2[C@@](C(=O)OC)(C)[C@@H]3O[C@@]2([C@H]2[C@]41CC(=C)[C@@](O)(C4)CC2)C=CO3,neutral,2-92,29.0,Low
O=C(OCC=C)N[C@H]1[C@@H]2[C@]3(C)C(=O)O[C@@]2([C@H]2[C@]41CC(=C)[C@@](O)(C4)CC2)C=CC3=O,neutral,2-93,0.0,Low
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1c([N+](=O)[O-])cccc1,neutral,2-94,0.0,Low
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1ccc(N)cc1,neutral,2-95,193.0,Low
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1c(N)cccc1,neutral,2-96,193.0,Low
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)c3ccc(N)cc3)[C@H]2OC1)c1ccc(N)cc1,neutral,2-97,113.0,Low
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)c3c(N)cccc3)[C@H]2OC1)c1c(N)cccc1,neutral,2-98,91.0,Low
O=C(O)[C@]1(C)[C@@H](O)[C@H](O)C=C2[C@@H]1[C@H](N)[C@@]34[C@H]2CC[C@@](C4)(O)C(C3)=C,±,2-99,91.0,Low
COc1ccc(C=C[C@@]2(C3=CC(C(OC)=C2)=O)CC[N+](C)(C)[O-])c3c1O,±,2-100,18.0,Low
O=C(N[C@@H]1C(N2[C@@H](C(O)=O)C(S[C@H]12)(C)C)=O)[C@H](N)c3ccccc3,±,Ampcillin,45.0,Low
