No.	NAME	IDDE	rGes	Yindex	IC1	IC3	TIC1	SIC0	CIC3	BIC1	BIC5
368	4-54	4.48385618977472	0.92	0.80321343165552	3.04556771161016	5.18364086666401	188.82519811983	0.206693210831957	0.77055544372286	0.502064446464284	0.854527637809565
369	Ciprofloxacin	3.88684218813101	0.833333333333333	0.705351019835019	3.80039828377882	4.630412660874	159.61672791871	0.319776102373736	0.761904761904763	0.669977664696413	0.816302089797917
370	2-74	4.98378805875239	1	0.564098686549015	3.95991914928925	5.65606705064217	241.555068106644	0.258027703433554	0.274670286920717	0.639746589199897	0.913768556255426
371	4-28	3.46132014021101	0.777777777777778	0.852220713331596	3.19279865090678	4.32670657763051	130.904744687178	0.265477719824996	1.03084542698757	0.581370002966867	0.787840916670212
372	2-15	4.33496250072116	1	0.912508680867204	3.79279040518395	4.95259103200287	174.468358638462	0.264738320120832	0.570970924054141	0.656037782307726	0.879209401677699
373	2-1	4.16385618977472	0.76	0.513506553482508	3.30144365121215	4.65830254067796	148.564964304547	0.29954081533027	0.833550555651711	0.568493521667248	0.843292704932675
374	4-16	4.43063240949075	1	1.07953693951941	2.97585356435198	5.18720948682028	187.478774554175	0.229979399995092	0.790070436679638	0.490572009563118	0.886516091084814
375	2-7	4.31044305771902	1	0.646786059102925	3.89097240859544	5.35981149221741	206.221537655558	0.271344807382631	0.368108962345793	0.649720700305	0.894989763621415
376	Chloramphenicol	3.38418371977919	0.8	1.11370207162578	3.88719873517385	4.5625	124.390359525563	0.395731635699369	0.437500000000001	0.740711209370944	0.869390819197153
377	4-44	4.7606479232901	0.935483870967742	0.789383168270459	3.26943723496367	5.18520038435846	219.052294742566	0.245810398646538	0.880888806099311	0.526525773276746	0.865707739971109
378	4-28	3.46132014021101	0.777777777777778	0.852220713331596	3.19279865090678	4.32670657763051	130.904744687178	0.265477719824996	1.03084542698757	0.581370002966867	0.787840916670212
379	2-71	4.8073549220576	1	0.78408569624192	3.70475972427803	5.44036175893987	203.761784835292	0.257392676584049	0.340997954584791	0.619806964320446	0.910173495062674
380	2-30	4.25162916738782	1	0.644568942871813	3.68402904954117	5.31358969100984	180.517423427517	0.249293474417989	0.301120153105373	0.627563912213382	0.905154951153856
381	4-30	4.26269239083962	1	0.857088072925658	3.71917050047571	5.13948725584089	174.801013522359	0.260347997559315	0.415101595836744	0.646262937212507	0.893064765194589
382	2-3	4.02192809488736	0.95	1.01619220298511	3.38596458642779	4.92511855035714	148.982441802823	0.229449631335804	0.534313068280158	0.596916553731312	0.876269460795428
383	3-38	3.7216117239699	0.789473684210526	0.775110815950146	3.33702427542495	4.45757515967848	116.795849639873	0.339204830153285	0.671707857266485	0.618847892990936	0.851846938555157
384	4-33	4.37366068968818	1	0.807615898702262	3.63508495181978	5.21366068968818	181.754247590989	0.267142816734134	0.430195500086541	0.62053546347168	0.890009833426345
385	4-30	4.26269239083962	1	0.857088072925658	3.71917050047571	5.13948725584089	174.801013522359	0.260347997559315	0.415101595836744	0.646262937212507	0.893064765194589
386	2-59	4.63161566522558	0.967741935483871	0.784275849322807	3.57793840768926	5.61609123298939	225.410119684423	0.246635585282518	0.361188690510528	0.583745015166981	0.91627213451609
387	4-28	3.46132014021101	0.777777777777778	0.852220713331596	3.19279865090678	4.32670657763051	130.904744687178	0.265477719824996	1.03084542698757	0.581370002966867	0.787840916670212
388	2-15	4.33496250072116	1	0.912508680867204	3.79279040518395	4.95259103200287	174.468358638462	0.264738320120832	0.570970924054141	0.656037782307726	0.879209401677699
389	2-99	4.05350885479768	0.958333333333333	0.940908516513208	3.74176213981281	5.21655117055752	183.346344850828	0.262997533286187	0.398158673557688	0.647211439042532	0.902305241162239
390	2-72	4.49468036840891	1	0.821295705497727	3.76362725421705	5.44036175893987	206.999498981938	0.257392676584049	0.340997954584791	0.629655512605357	0.910173495062674
391	4-35	4.08877934736136	1	0.792254312341061	3.02174316799306	5.11324878594275	172.239360575605	0.22268003275767	0.719641228221997	0.51156240649515	0.909464357679689
392	2-23	4.34964891257875	0.956521739130435	0.894625178411943	3.41613488974619	5.10950805835677	167.390609597563	0.245142656448725	0.505201785758435	0.588242829238998	0.893890726688825
393	2-12	4.25162916738782	1	0.644568942871813	3.71178901109217	5.30875843973145	185.589450554608	0.243762155179588	0.335097750043272	0.629669849031814	0.900580586693554
394	4-60	4.34964891257875	1	0.942971387373547	3.43245150121946	5.15743195949129	175.055026562192	0.251903926698246	0.514993382480204	0.588464979261396	0.884198389986242
395	2-12	4.25162916738782	1	0.644568942871813	3.71178901109217	5.30875843973145	185.589450554608	0.243762155179588	0.335097750043272	0.629669849031814	0.900580586693554
396	4-3	4.10660313706447	0.952380952380952	0.977146881871236	3.31286180312055	4.96927448988345	155.704504746666	0.222716450075679	0.585314361794191	0.57566056710494	0.878276225375743
397	4-55	3.68418371977919	0.95	0.931149258045694	2.71703875543769	4.85862361216384	141.28601528276	0.187948532659176	0.841816105977255	0.467861667127969	0.8366328005388
398	2-19	4.08496250072116	1	0.63411549530319	3.64321272301056	5.23195703794861	178.517423427517	0.249293474417989	0.382752806166597	0.620610966616245	0.891249059959583
399	4-30	4.26269239083962	1	0.857088072925658	3.71917050047571	5.13948725584089	174.801013522359	0.260347997559315	0.415101595836744	0.646262937212507	0.893064765194589
400	2-7	4.31044305771902	1	0.646786059102925	3.89097240859544	5.35981149221741	206.221537655558	0.271344807382631	0.368108962345793	0.649720700305	0.894989763621415
401	2-54	4.39274741044879	0.923076923076923	0.961982527162752	3.5896617192458	5.27756901109275	172.303762523798	0.259657805840891	0.307393489628401	0.620902676380488	0.912859478151245
402	Ciprofloxacin	3.88684218813101	0.833333333333333	0.705351019835019	3.80039828377882	4.630412660874	159.61672791871	0.319776102373736	0.761904761904763	0.669977664696413	0.816302089797917
403	2-17	4.8073549220576	0.964285714285714	0.622765697720285	3.63551726236507	5.31610893983748	203.588966692444	0.23311556550652	0.491245982220127	0.599318135329085	0.902137447182647
404	4-58	4.72640976555739	0.90625	0.568863808006079	3.82756084708056	5.10464834742216	218.170968283592	0.253152752953467	0.728241666742577	0.614492255637617	0.875852358446205
405	2-68	4.70689059560852	0.933333333333333	0.695876647858508	3.57240978624662	5.29357715949466	210.77217738855	0.249636408337299	0.589065889867181	0.586847078891221	0.869586771622475
406	2-18	4.52164063634332	1	0.626579996202558	3.82416474302257	5.42325179698034	214.153225609264	0.263654439241952	0.384103125077269	0.631541927854939	0.895623260309816
407	3-42	3.61687460595622	0.823529411764706	0.688713549684322	3.05204803396675	4.45757515967848	106.821681188836	0.28745678243713	0.671707857266485	0.573485394682196	0.863113707365665
408	2-96	3.78418371977919	0.9	0.780962914330517	3.52928301694497	4.61499730265925	123.524905593074	0.347540757310792	0.514285714285714	0.654502088848891	0.908832178104254
409	2-16	4.36852252772821	0.954545454545455	0.918314414065014	3.47327143234235	5.11090234442609	166.717028752433	0.235588513349329	0.474060156295069	0.600770684483985	0.891238266845611
410	Tetracycline	3.97640976555739	0.96875	0.811379581206465	4.28458664229811	5.30382039522484	235.652265326396	0.282492097158361	0.477539318299825	0.708852956589282	0.877477591713986
411	3-38	3.7216117239699	0.789473684210526	0.775110815950146	3.33702427542495	4.45757515967848	116.795849639873	0.339204830153285	0.671707857266485	0.618847892990936	0.851846938555157
412	4-35	4.08877934736136	1	0.792254312341061	3.02174316799306	5.11324878594275	172.239360575605	0.22268003275767	0.719641228221997	0.51156240649515	0.909464357679689
413	2-24	4.71848843747471	0.939393939393939	0.550625318677838	3.37708035697315	5.48750188447719	222.887303560228	0.247809949732364	0.556892234881266	0.540512089762042	0.878291541102197
414	Ampcillin	4.25162916738782	0.833333333333333	0.680641933744568	3.67926178225318	4.67173022024327	154.528994854634	0.329674469623256	0.720587202535487	0.651905657858381	0.839376947343459
415	4-44	4.7606479232901	0.935483870967742	0.789383168270459	3.26943723496367	5.18520038435846	219.052294742566	0.245810398646538	0.880888806099311	0.526525773276746	0.865707739971109
416	2-24	4.71848843747471	0.939393939393939	0.550625318677838	3.37708035697315	5.48750188447719	222.887303560228	0.247809949732364	0.556892234881266	0.540512089762042	0.878291541102197
417	2-25	4.36852252772821	0.954545454545455	0.918314414065014	3.34625183600447	5.05350885479768	160.620088128214	0.235588513349329	0.531453645923474	0.578800144224963	0.881310932711023
418	4-3	4.10660313706447	0.952380952380952	0.977146881871236	3.31286180312055	4.96927448988345	155.704504746666	0.222716450075679	0.585314361794191	0.57566056710494	0.878276225375743
419	2-7	4.31044305771902	1	0.646786059102925	3.89097240859544	5.35981149221741	206.221537655558	0.271344807382631	0.368108962345793	0.649720700305	0.894989763621415
420	2-61	4.24385618977472	0.96	0.924352732321185	3.71142616396373	5.20280353209694	170.725603542331	0.258280037656998	0.320758423960076	0.64491723992319	0.904066939647563
421	4-35	4.08877934736136	1	0.792254312341061	3.02174316799306	5.11324878594275	172.239360575605	0.22268003275767	0.719641228221997	0.51156240649515	0.909464357679689
422	2-58	5.10134525752084	0.945945945945946	0.575968675071569	3.9057568021462	5.66714623913158	277.30873295238	0.240597024774164	0.482600880373102	0.614349170767158	0.909127017957727
423	4-39	3.25162916738782	1	1.56322318309402	2.99795269866069	3.76718346789146	77.946770165178	0.314038857992852	0.933256250249631	0.617119066885515	0.838800271073675
