No.	NAME	P_VSA_LogP_2	P_VSA_LogP_3	P_VSA_LogP_4	P_VSA_LogP_5	P_VSA_LogP_6	P_VSA_LogP_8	P_VSA_MR_1	P_VSA_MR_2	P_VSA_MR_4	P_VSA_MR_5	P_VSA_MR_6	P_VSA_MR_7	P_VSA_MR_8	P_VSA_m_1	P_VSA_m_2	P_VSA_m_3	P_VSA_m_4	P_VSA_e_2	P_VSA_e_4	P_VSA_i_1	P_VSA_i_4	P_VSA_s_3	P_VSA_s_4	P_VSA_s_5	P_VSA_ppp_L	P_VSA_ppp_P	P_VSA_ppp_D	P_VSA_ppp_con	P_VSA_ppp_hal	P_VSA_ppp_cyc	P_VSA_charge_1	P_VSA_charge_2	P_VSA_charge_3	P_VSA_charge_5	P_VSA_charge_6	P_VSA_charge_7	P_VSA_charge_10	P_VSA_charge_11	P_VSA_charge_12	P_VSA_charge_13	P_VSA_charge_14
2393	4-49	37.5374235532505	94.7624747343013	0	6.37114990148008	0	0	185.92151342774	23.5422039931806	0	4.640236081185	101.133624635781	0	0	176.566529948855	138.671048189032	0	0	105.773860716966	0	0	32.8971874720655	11.0113859826651	94.7624747343013	0	103.668156374981	32.8971874720655	0	101.133624635781	0	101.133624635781	32.8971874720655	0	0	0	94.7624747343013	6.37114990148008	0	0	0	0	0
2394	3-49	28.1488776398303	71.1120855812116	60.1279813321852	9.55672485222013	0	0	247.193141928397	50.2898540648355	0	45.7992861636105	47.8235945398601	0	0	247.193141928397	93.6228807034706	92.9731972257567	0	75.6121300204403	0	0	18.0107506830303	29.5329790763698	46.0791509440706	18.0107506830303	65.7740027530907	0	60.6940938439515	37.9854672725105	0	53.2570715615929	60.6940938439515	50.2898540648355	0	0	28.4287424202904	25.9855243317102	5.13347733228232	0	4.70464993506731	0	0
2395	2-83	42.9272406778153	85.3666863218424	103.464126728336	10.9998878876064	0	0	341.361957901119	121.747974974631	0	51.7524449397054	17.0294577434761	0	0	376.67526389089	68.7819026831815	182.801243194309	0	50.7711520001513	0	0	18.0107506830303	41.9459477382612	8.82520426189009	18.0107506830303	31.6359899146901	0	103.377437004873	0	0	57.1353692364217	125.377212780086	75.4347810972533	0	0	7.60359521760002	21.4978629578901	5.13347733228232	0	4.70464993506731	0	7.19133047612651
2396	3-19	25.9050469529202	71.1120855812116	32.3362575085443	23.7421876905666	0	0	200.108733942035	83.2292229063855	0	18.9633312186901	75.0123501012316	0	0	247.193141928397	93.9756813199217	78.8281580809454	0	93.9756813199217	0	0	0	30.0717572358867	48.1370040879147	0	75.9012934380609	0	42.6833431609212	37.9854672725105	0	51.3091691800506	53.6832310485276	25.1449270324178	0	0	44.1956624164106	31.7056310216503	0	0	0	0	7.19133047612651
2397	2-93	64.2751025151149	71.1120855812116	87.7595889056621	25.1853507259529	6.7625030789115	0	200.108733942035	168.061168852008	0	41.5664667847646	53.8067258303008	28.4287424202904	0	270.735345921577	123.801935035356	140.117900033387	0	105.791184352326	0	0	18.0107506830303	37.0033976779046	37.2539466821805	18.0107506830303	82.111488581961	0	60.6940938439515	49.2308993115603	0	55.6008925504156	82.6938696191643	25.1449270324178	50.2898540648355	0	41.0100874656706	41.1014011162904	4.5923848830442	5.13347733228232	0	0	13.953833555038
2398	3-19	25.9050469529202	71.1120855812116	32.3362575085443	23.7421876905666	0	0	200.108733942035	83.2292229063855	0	18.9633312186901	75.0123501012316	0	0	247.193141928397	93.9756813199217	78.8281580809454	0	93.9756813199217	0	0	0	30.0717572358867	48.1370040879147	0	75.9012934380609	0	42.6833431609212	37.9854672725105	0	51.3091691800506	53.6832310485276	25.1449270324178	0	0	44.1956624164106	31.7056310216503	0	0	0	0	7.19133047612651
2399	3-11	28.0107512949052	71.1120855812116	0	12.7422998029602	0	0	282.506447918168	58.8555099829516	0	21.0690355606751	82.127092813396	0	0	341.361957901119	103.196128374071	42.6833431609212	0	103.196128374071	0	0	0	24.9861311017452	62.4430772762057	0	75.9012934380609	0	42.6833431609212	37.9854672725105	0	51.3091691800506	42.6833431609212	0	0	0	44.1956624164106	31.7056310216503	0	0	0	0	0
2400	2-66	46.0215019779355	123.271676215563	62.1858344760293	33.1782373367112	14.9601132710125	39.148644061782	250.382153202819	108.374149938803	0	39.0797862437054	78.2699922767092	48.6248915352121	0	282.506447918168	126.826025993845	161.616541545297	39.148644061782	108.815275310814	39.148644061782	0	32.9708639540427	46.3181611590836	46.7301941556106	18.0107506830303	121.340610022533	0	103.377437004873	44.2359419679151	54.1087573327944	88.4126846633582	114.377324892479	50.2898540648355	14.9601132710125	0	67.5773864820724	53.7632235404606	9.12101806522548	0	4.70464993506731	0	7.19133047612651
2401	3-52	10.1381269568	28.4287424202904	62.6146618732444	20.5566127398266	0	0	258.964243924987	61.289741952442	0	27.7885354805802	61.1933324866536	0	0	258.964243924987	88.9818679672338	61.289741952442	0	88.9818679672338	0	0	0	32.019659617429	56.9622083498048	0	65.7740027530907	0	0	37.9854672725105	0	53.2570715615929	10.9998878876064	50.2898540648355	0	0	37.2539466821805	25.9855243317102	5.13347733228232	0	0	0	7.19133047612651
2402	2-68	42.4255392969737	94.8429337952725	73.1857223636358	17.3710377890865	0	0	270.735345921577	108.374149938803	0	35.4838235627435	34.0340503087941	9.47624747343013	0	317.819753907939	78.9941213449678	157.656316161891	0	75.8698074509727	0	0	3.12431389399505	41.8014357195323	21.4257656293153	0	50.5776485897205	0	85.3666863218424	0	0	71.6971229271031	110.49077599105	50.2898540648355	0	0	18.9524949468603	31.6251536428603	0	0	4.70464993506731	0	7.19133047612651
