No.	NAME	DBI	HNar	PJI2	ICR	MeanTD	MaxDD	GMTIV	S2K	PW2	PW5	MAXDN	MAXDP	TIE	Psi_i_1d	Psi_i_1s	Psi_e_0d	LOC
2407	2-40	3.39116499156263	1.81005586592179	1	2.36517454447161	4.18803418803419	18	18860	6.31767482972283	0.597045855379189	0.147367210307414	1.98220379818594	6.25105402809272	76.4678127270316	3.79715963745389E-8	1.40132786380721E-9	-3.98967910731031E-7	1.03323668767524
2408	2-69	4.47213595499958	1.82022471910112	0.8	2.21151585538358	3.98575498575499	18	20122	5.29271776394052	0.626877237988349	0.145774680652567	2.44611217403628	6.08861002141597	83.2510837875789	-1.84019283403684E-8	2.62307091312679E-9	-3.94217254076249E-7	1.13526955812574
2409	2-35	3.24037034920393	1.88679245283019	1	2.37302019244805	4.14666666666667	18	14443	6.00749684105067	0.591857142857143	0.135583367041696	1.54863425925926	4.93527014046359	49.1721878303053	1.38150598465492E-7	8.85521356598637E-9	-1.48914459186798E-6	1.01720710925489
2410	2-29	3.16227766016838	1.98620689655172	0.8	2.18215013049588	3.82246376811594	20	12210	4.76581596808887	0.604392135642135	0.146872513427956	1.82962962962963	5.99079128873772	40.8642449484676	1.36236206134148E-7	1.14495654610643E-8	2.83746357334443E-6	0.920614062710337
2411	2-80	4.47213595499958	1.75135135135135	0.8	2.188212504158	4.11965811965812	18	17396	5.71092912169431	0.618650793650794	0.133942698236285	2.55672713529856	6.00482993197279	85.7686635740052	3.67741747417001E-8	2.66520534004341E-9	-3.97148130600618E-7	1.25235324178241
2412	2-79	4.52769256906871	1.97260273972603	0.857142857142857	2.57367439081653	5.92380952380952	29	48853	7.44176458462173	0.621428571428571	0.122020127023475	2.44225316027467	7.02874643067103	94.2739397638283	1.24195600394859E-11	1.37729270643572E-12	1.03036760293183E-9	0.574436111271368
2413	3-25	4.06201920231798	1.86528497409326	0.857142857142857	2.75893853235028	5.44597701149425	20	22231	8.43169688901291	0.59234126984127	0.112921385024432	1.46012587133619	5.85163855820106	58.0258898840368	-4.94645955166139E-9	5.9356047865774E-10	5.55856178905211E-8	1.28726748802706
2414	3-46	3.3166247903554	1.90909090909091	1	2.16712428215016	3.57619047619048	17	5556	4.54974378450737	0.605536659108088	0.137330505380391	1.61657501889645	5.72092734315949	44.2041930775282	1.63861687967961E-6	1.0722892962535E-6	-0.0000196058436381225	0.987915331402444
2415	4-41	2.82842712474619	1.83673469387755	0.8	2.25656476213095	3.68571428571429	13	4775	4.55074387515694	0.576984126984127	0.0790766790964926	2.05312925170068	3.88380046926178	25.8399062171467	0.000346462936157036	0.0000117354369812376	-0.00092044305073131	1.76668248418031
2416	3-52	3.60555127546399	1.85915492957746	0.75	1.87703416804033	3.64069264069264	18	8754	4.29255393928061	0.614123376623376	0.142189801549771	1.83611111111111	5.65529903628118	47.8771178473276	-9.39565042050927E-7	1.42590969774272E-7	0.0000103696137755815	1.09390056703007
2417	4-20	2.64575131106459	1.92	0.8	2.25	3.73333333333333	13	3724	5.43769321632214	0.563690476190476	0.0881134175371976	1.00064814814815	1.87324404761905	19.933843146663	-0.000167992355127976	0.000016543008615749	0.000486151233702221	0.625
