No.	NAME	SPAM	MEcc	SPH	PJI3	L/Bw	HOMA	DISPm	QXXm	DISPv	DISPe	DISPp	DISPi	DISPs	QYYs
756	2-53	0.32538778736323	0.980080023215102	0.562216304251319	0.919102676539792	2.93	0.869056436702473	1.34803853306429	259.331615429823	1.08483877854639	0.117455946774147	0.166079527464413	0.227255838036706	0.542132649065816	1882.06786704817
757	3-42	0.433925527262902	0.998589611137528	0.777036967125554	0.909527959459881	12.11	0.875771749331524	1.95722980233762	30.3113798371381	6.43491860406514	0.130993704825587	0.596425486662345	0.959245470576825	0.0469876755580205	710.203679745683
758	3-42	0.418990460154504	0.996872014321076	0.737708816859344	0.89242141687721	10.38	0.877778260917146	1.86472140650177	34.1131480882043	5.97581067079546	0.131011508860006	0.557638191385566	0.899848145914623	0.0429331807285326	641.68060381737
759	2-20	0.471692100778027	0.999019384623488	0.795724913827768	0.83953503253124	16.73	0.877646066485348	24.6804058517007	83.080659432979	15.322358834666	0.195571931117779	1.38642959461897	1.30649834006676	0.676727411261806	1012.95214162107
760	2-4	0.329584741152265	0.992710212727215	0.664929501564088	0.766561645045803	2.57	0.88730413989073	3.48959989991858	75.0203362729395	5.02647138822378	0.014503985605413	0.359746012881582	0.544139132599016	0.112249519578919	549.748344638817
761	4-52	0.370944448472449	0.974501824912335	0.551021017006519	0.891621714499504	1.65	0.579031769570597	4.58095403604483	129.813790536836	3.29589507275713	0.164667484280309	0.131967345339492	0.22733191244272	0.548168643545474	656.178973664901
762	2-85	0.323596954274707	0.980145605489556	0.674705261651521	0.861294052202245	1.28	0	3.045405070603	209.491706048623	2.12473061705693	0.129983713091276	0.106265325270174	0.183841354707903	0.342287506998557	958.040841899399
763	2-24	0.357534159902108	0.990114839009437	0.716263935383237	0.909576640217931	2.73	0	6.52662236907864	215.857063514662	4.84634933439086	0.232055486042441	0.153615113360466	0.208484761375434	0.627666366227622	1532.34764922205
764	2-90	0.334543419386065	0.964249374150708	0.637043029734465	0.76381705290406	1.12	0	4.45433978424917	213.578755433895	2.98791182115662	0.176340673808485	0.0894784955004289	0.157651225314209	0.45036222659874	836.197171343976
765	3-7	0.472426934645837	0.999297918783573	0.786622851319199	0.849755841966487	10.23	0.879713631533626	19.1883491371859	101.871059910363	10.5955264548842	0.119530032443325	1.13841926381735	1.05227935800925	0.310948834197661	1240.65471329559
766	4-14	0.427160882039842	0.999682585648671	0.721331137034074	0.84153819573933	23.92	0.876577156603171	21.6696621907634	34.8543533264513	10.0358542888141	0.0202064703877844	1.01575655763317	0.817328424056275	0.226888512833152	620.331915061312
767	2-53	0.304176785925892	0.959737619877099	0.502014900529753	0.830488031695862	1.89	0.870220263084394	1.29736024818317	312.011547585344	0.94844672273201	0.113882270256611	0.156592731179236	0.207493262180912	0.503816262290989	1602.74976946552
768	2-23	0.336706171603654	0.994510697946614	0.769176547710739	0.697378917593494	1.52	0.878617150984156	2.35754222171426	135.082416799628	3.51934693907219	0.172109532549908	0.363504337632081	0.517966330879597	0.472808987947504	697.854200989288
769	4-60	0.355845787149308	0.9897559755606	0.644477911044218	0.877803364561209	2.2	0.837708553385538	3.64176176054828	111.459794612395	4.44328278951145	0.0775796551951868	0.300108911877499	0.460985438614391	0.144152396967335	737.267421983513
770	2-79	0.3285107371149	0.965613378946071	0.470013736948428	0.831026348445904	2.24	0.867154673469431	1.01299166489136	281.793756443956	0.357862295254205	0.0725585705221259	0.0740405117691931	0.120297584280568	0.269751976248238	1499.70743432251
771	2-59	0.325744192124567	0.978953279291074	0.704485339703826	0.828584754393709	1.41	0	4.02920302903991	254.301901858543	3.58446885106363	0.164096310331438	0.238867952039717	0.334296045893872	0.472454264280636	1238.05666104146
772	2-61	0.350801236135956	0.982128300557153	0.57744217729472	0.808474768088182	2.57	0	2.44434058292002	107.882937438113	1.06376510978844	0.135612497498802	0.0782028219119118	0.126940167973565	0.384228151905865	875.462168697813
773	4-35	0.345392773689199	0.992878290139683	0.714618027808421	0.809933679861472	3.92	0.358791973231763	2.33532079204249	106.552122241124	4.55051077192069	0.121566195510739	0.406296537105897	0.629621396775542	0.302644189859945	1103.46438481999
774	3-34	0.432271373257819	0.999318430224876	0.877827555991833	0.808282877761847	5.49	0.881626995132606	5.47054278926876	61.2346068537372	6.18619712093474	0.201017227327265	0.569962517079157	0.899061361719006	0.441096262420733	912.705156767836
775	Chloramphenicol	0.436286743692531	0.996752301216723	0.737285367625985	0.74645995648124	4.09	0.860897145284293	9.18681546064587	109.68712851651	5.27915463719493	0.119058354658714	0.604337060227847	0.201630772959194	0.294483587961567	945.780304476434
776	4-28	0.398169454916513	0.992863355990497	0.588922231088922	0.650478969785758	3.78	0.860013081783209	3.2045194448016	67.854726721037	3.32878358222362	0.0751604581771145	0.194365554072586	0.314608971203787	0.198114719847529	623.24530377167
777	4-50	0.403024769743051	0.997679195350198	0.845183600367234	0.852465940119576	9.86	0	13.9042928544407	144.824924863705	6.81425134442536	0.455521391696194	0.182350121282206	0.30758469962452	0.880825781850382	2737.48029250795
778	4-12	0.344320749696002	0.962357433013327	0.435193649213373	0.529391157231897	2.45	0	0.846314325332822	25.6354624460092	1.79265189821478	0.0387908768928055	0.155896960112534	0.316564607546613	0.0775814504319298	198.557404243688
779	4-55	0.357438159977651	0.997010873057859	0.727591374614152	0.910296936997577	7.11	0.284926627219116	1.06016195676966	50.3787516508458	1.93220216401486	0.0333442178219852	0.158130001978455	0.309898096782991	0.0452802037267143	875.500823232283
780	2-77	0.332110857714973	0.993048969521805	0.679572527504456	0.919097863829752	2.78	0.425650832832887	3.81948989041978	105.878593521616	2.50533268212881	0.143083346260207	0.132100667020643	0.143511818003142	0.320825651396821	841.859455105236
781	2-5	0.359145994844099	0.995869201331094	0.708855833561793	0.724935901388453	3.64	0.87116207620448	1.36331683229823	54.4242058427857	2.3987838522573	0.0881539245888694	0.222630405926094	0.352827219550371	0.25028434978636	555.092055097986
782	2-41	0.373663198353653	0.984862249504815	0.575972311952639	0.952145888145864	3.99	0.672072215195983	6.27698242283328	174.099511431625	8.04327621034072	0.102653562844981	0.559780075730953	0.643871691642678	0.283641607274347	1387.16010889342
783	3-17	0.341403508455239	0.994252686196124	0.67792510868268	0.764357002520157	3.01	0.87000078723888	2.12707576910667	66.5948657005297	2.7840204588134	0.0893716774191782	0.227271771141357	0.354989890701668	0.262372546905196	580.474565514879
784	3-39	0.428077621464591	0.99546917531333	0.743455743510539	0.769631891344591	6.51	0.884255380894021	9.44222058459583	67.884130752986	9.75984406540916	0.198870209330495	0.728189119020996	0.962237513251281	0.708792016548376	892.538053039179
785	4-37	0.416154080735152	0.999143320520912	0.860111973413273	0.784925133785316	3.36	0.855748133851223	5.00244549376664	32.0228971788765	4.05332512259025	0.15470953945796	0.161272536500644	0.330527473559381	0.285368643969693	345.483346042413
786	2-63	0.389659938152257	0.999336795758213	0.85093917585782	0.914467910746782	10.84	0.876845530683579	6.57674299516193	137.438331323158	3.54324220647359	0.246601819507561	0.0794597089816441	0.530817940280531	0.487918590129322	3283.51427894563
787	4-28	0.393548663413181	0.991666167234901	0.581983189257964	0.620352850693649	3.13	0.869238920061021	3.26965825212995	72.26415786412	3.26016336213639	0.080992395691661	0.183033786296141	0.302354811994476	0.200713030488256	578.107575927556
788	2-79	0.325037793511786	0.991260341172436	0.700577850863078	0.783643609445531	2.52	0.866575506573223	2.16228943740816	232.133442886381	1.26643653508857	0.107821789273899	0.0756839772925433	0.118759222980682	0.308722255861503	1478.97928478761
789	2-24	0.357650661084392	0.992423166639706	0.777693063286249	0.901295618079566	2.33	0	5.81261035400304	236.123276549798	4.24229329200832	0.211267358936768	0.127630607984387	0.189046200011784	0.522822195770728	1511.92039751633
790	3-39	0.414934084062776	0.997118789113821	0.810374050451361	0.715781258088982	4.56	0.881977295845923	8.6593098624512	71.2767573019541	9.04951400306747	0.188506675269593	0.679075434518233	0.908084879810415	0.642060389461111	771.966894768797
