No.	NAME	Eta_betaS_A	Eta_betaP_A	Eta_beta	Eta_F_A	Eta_FL_A	Eta_sh_p	Eta_sh_y	Eta_sh_x	Eta_D_AlphaA	Eta_D_AlphaB	Eta_epsi_5	Eta_D_epsiA	Eta_D_epsiB	Eta_psi1	Eta_D_beta
2438	4-57	0.583333333333333	0.133333333333333	21.5	0.500749881819796	0.0823734895680695	0.267734553775744	0.240274599542334	0.102974828375286	0	0.0144444443285465	0.762745098039215	0.0852270210409744	0.00624338624338638	0.588948787061995	-13.5
2439	3-52	0.613636363636364	0.409090909090909	22.5	0.688486158153139	0.169737756840359	0.206349206349206	0.333333333333333	0.0952380952380952	0	0.0227272734045982	0.804545454545454	0.10560606060606	0.0302727272727272	0.593220338983051	-4.5
2440	3-53	0.613636363636364	0.409090909090909	22.5	0.656230247395124	0.165868722239285	0.205047318611987	0.331230283911672	0.0946372239747634	0	0.0196969695389271	0.766666666666667	0.0918518518518517	0.0280610021786492	0.609615384615385	-4.5
2441	3-25	0.65	0.433333333333333	32.5	0.83157560315123	0.198719416990058	0.192743764172336	0.333333333333333	0.0272108843537415	0	0.00999999977648258	0.8	0.0990783410138252	0.0336021505376348	0.6125	-6.5
2442	2-74	0.643939393939394	0.333333333333333	32.25	0.819288217845067	0.164109514073159	0.193120096560048	0.348521424260712	0.0950512975256488	0	0.0217893216758966	0.803306878306878	0.148718960783798	0.041835713735968	0.563222297756628	-10.25
2443	4-63	0.5625	0.9	29.25	0.987313126560684	0.300545368832033	0.0404040404040404	0.151515151515152	0.0505050505050505	0	0.00499999988824129	0.681818181818182	0.084169884169884	0.0742997542997541	0.6875	6.75
2444	4-63	0.5625	0.9	29.25	0.987313126560684	0.300545368832033	0.0404040404040404	0.151515151515152	0.0505050505050505	0	0.00499999988824129	0.681818181818182	0.084169884169884	0.0742997542997541	0.6875	6.75
2445	3-5	0.670454545454545	0.409090909090909	23.75	0.759785743976826	0.199922503079168	0.267062314540059	0.302670623145401	0.0741839762611276	0.0106060607358813	0	0.881159420289855	0.184080776291634	0.0416190970420341	0.562604340567613	-5.75
2446	2-80	0.62962962962963	0.259259259259259	24	0.807799576876832	0.159408389392598	0.266666666666667	0.32	0.12	0	0.0370370373129845	0.83103448275862	0.146566037735849	0.0295490885833068	0.531914893617021	-10
2447	2-10	0.701923076923077	0.384615384615385	28.25	0.863886966731674	0.210543707264319	0.14404432132964	0.407202216066482	0.0415512465373961	0	0.0371794886887074	0.805747126436781	0.150748299319728	0.0420097863706885	0.535608308605342	-8.25
2448	4-63	0.5625	0.9	29.25	0.987313126560684	0.300545368832033	0.0404040404040404	0.151515151515152	0.0505050505050505	0	0.00499999988824129	0.681818181818182	0.084169884169884	0.0742997542997541	0.6875	6.75
2449	2-45	0.671875	0.21875	14.25	0.646896585213576	0.208220373508991	0.155339805825243	0.364077669902913	0	0	0.070833332836628	1.01458333333333	0.290906380441264	0	0.42299794661191	-7.25
2450	3-37	0.6625	0.45	22.25	0.816446329098243	0.214220845504734	0.160714285714286	0.321428571428571	0.0892857142857143	0	0.0333333350718021	0.912698412698412	0.214550264550264	0.051058201058201	0.49469964664311	-4.25
2451	2-69	0.648148148148148	0.203703703703704	23	0.579071064167917	0.105619075422657	0.291448516579407	0.256544502617801	0.146596858638743	0.00529100513085723	0	0.841326530612244	0.155197651663405	0.0116593406593406	0.586609336609337	-12
