No.	NAME	WHALES00_Rem	WHALES10_Rem	WHALES20_Rem	WHALES30_Rem	WHALES40_Rem	WHALES50_Rem	WHALES60_Rem	WHALES70_Rem	WHALES80_Rem	WHALES90_Rem	WHALES100_Rem	WHALES00_Isol	WHALES10_Isol	WHALES30_Isol	WHALES40_Isol	WHALES60_Isol	WHALES70_Isol	WHALES80_Isol	WHALES90_Isol	WHALES100_Isol	WHALES00_IR	WHALES10_IR	WHALES20_IR	WHALES30_IR	WHALES40_IR	WHALES50_IR	WHALES90_IR	WHALES100_IR
1719	2-94	-2.594	-1.941	-1.569	-1.358	-1.058	-0.578	0.601	0.728	0.904	1.055	1.403	-0.293	-0.262	-0.2	-0.169	0.164	0.201	0.228	0.235	0.281	-1.102	-0.239	-0.191	-0.117	-0.099	-0.056	0.308	0.362
1720	2-70	-2.024	-1.677	-1.336	-0.916	-0.831	0.074	0.587	0.859	1.125	1.371	2.202	-0.365	-0.263	-0.127	-0.093	0.049	0.084	0.115	0.144	0.178	-1.11	-0.176	-0.151	-0.087	-0.066	-0.018	0.198	0.291
1721	3-15	-2.928	-1.579	-1.279	-1.204	-1.086	-0.959	-0.708	-0.52	-0.37	0.316	0.732	-0.25	-0.176	-0.152	-0.108	-0.079	-0.07	-0.044	0.141	0.197	-0.615	-0.296	-0.176	-0.168	-0.139	-0.09	0.273	0.478
1722	2-27	-2.453	-1.854	-1.157	-1.061	-0.995	-0.827	-0.07	0.504	0.594	1.063	1.647	-0.274	-0.19	-0.114	-0.082	0.004	0.105	0.127	0.155	0.358	-0.382	-0.227	-0.147	-0.113	-0.061	-0.039	0.317	0.7
1723	4-27	-2.2	-1.578	-1.509	-1.484	-1.44	-1.257	-1.06	-0.831	-0.329	0.366	0.456	-0.312	-0.238	-0.17	-0.159	-0.124	-0.079	0.057	0.269	0.287	-0.395	-0.17	-0.157	-0.152	-0.141	-0.105	0.699	0.781
1724	2-96	-2.314	-1.965	-1.401	-1.304	-1.128	-0.69	0.526	0.668	0.72	0.883	1.59	-0.375	-0.269	-0.167	-0.106	0.082	0.164	0.188	0.203	0.355	-0.714	-0.26	-0.133	-0.105	-0.082	-0.06	0.342	0.433
1725	2-93	-2.183	-2.084	-1.844	-1.374	-1.098	-0.802	-0.42	0.446	0.615	1.03	1.176	-0.256	-0.167	-0.106	-0.079	-0.034	0.085	0.129	0.165	0.234	-0.404	-0.218	-0.114	-0.07	-0.053	-0.039	0.298	0.612
1726	3-11	-3.192	-1.332	-1.156	-0.991	-0.837	-0.772	-0.643	-0.419	0.457	0.915	1.846	-0.192	-0.155	-0.107	-0.094	-0.081	-0.057	0.103	0.214	0.309	-0.655	-0.21	-0.159	-0.137	-0.101	-0.085	0.271	0.461
1727	4-27	-1.986	-1.811	-1.62	-1.45	-1.367	-1.141	-0.928	-0.835	-0.323	0.386	0.441	-0.423	-0.234	-0.165	-0.117	-0.093	-0.068	0.06	0.235	0.265	-0.503	-0.164	-0.143	-0.116	-0.111	-0.099	0.576	0.731
1728	2-16	-3.983	-1.497	-1.334	-1.126	-1.061	-0.862	-0.721	-0.663	0.33	0.599	0.623	-0.22	-0.133	-0.113	-0.09	-0.049	-0.034	0.072	0.137	0.217	-0.328	-0.161	-0.12	-0.087	-0.078	-0.056	0.342	0.64
1729	4-17	-1.45	-1.384	-1.239	-1.23	-1.21	-1.127	-0.989	-0.459	-0.053	0.557	1.001	-0.686	-0.284	-0.183	-0.173	-0.122	-0.075	0.013	0.145	0.234	-0.718	-0.398	-0.299	-0.229	-0.119	-0.109	0.252	0.261
1730	2-88	-1.982	-1.67	-1.367	-0.82	-0.752	-0.572	0.482	0.629	0.883	1.217	1.644	-0.2	-0.131	-0.073	-0.065	0.043	0.076	0.093	0.139	0.192	-0.221	-0.162	-0.097	-0.066	-0.048	-0.04	0.186	0.79
1731	3-36	-3.744	-2.194	-2.019	-1.592	-1.093	-0.606	0.42	0.604	0.733	0.957	2.448	-0.424	-0.288	-0.199	-0.153	0.18	0.207	0.235	0.259	0.372	-0.799	-0.377	-0.146	-0.105	-0.088	-0.038	0.501	0.617
1732	4-62	-2.48	-2.134	-1.55	-1.271	-1.192	-1.093	-0.998	-0.837	-0.332	0.601	1.447	-0.342	-0.27	-0.207	-0.178	-0.153	-0.105	-0.018	0.171	0.389	-0.356	-0.26	-0.224	-0.183	-0.136	-0.094	0.213	0.727
1733	2-64	-1.791	-1.577	-1.459	-0.911	-0.852	-0.676	-0.536	0.319	0.629	0.818	1.36	-0.203	-0.176	-0.09	-0.074	-0.026	0.072	0.127	0.163	0.2	-0.352	-0.2	-0.117	-0.099	-0.076	-0.055	0.298	0.511
1734	2-67	-2.644	-1.752	-1.312	-1.142	-0.794	-0.666	-0.569	0.386	0.53	0.713	1.353	-0.249	-0.174	-0.145	-0.132	-0.062	0.064	0.146	0.201	0.246	-0.233	-0.217	-0.204	-0.125	-0.111	-0.065	0.351	1.025
