No.	NAME	Ro5	DLS_01	DLS_02	DLS_03	DLS_04	DLS_05	DLS_06	DLS_07	DLS_cons	LLS_01	LLS_02	QED
1633	4-46	0	1	1	1	0.7	0.5	1	1	0.885714285714286	0.166666666666667	1	0.847569818413297
1634	3-46	0	1	1	1	0.7	1	1	1	0.957142857142857	1	1	0.824134112842269
1635	2-54	0	1	1	1	1	1	0.833333333333333	1	0.976190476190476	0.5	1	0.405361906841871
1636	4-41	0	1	0.833333333333333	1	0.9	1	1	1	0.961904761904762	0.5	0.875	0.498340905327447
1637	2-25	0	1	1	1	0.9	0.5	1	1	0.914285714285714	0.833333333333333	1	0.895711398449172
1638	3-49	0	1	1	1	0.8	0.5	1	1	0.9	0.5	1	0.894416805012463
1639	2-43	0	1	1	1	1	1	1	1	1	0.5	1	0.555572286804086
1640	2-67	0	1	0.833333333333333	1	1	1	1	1	0.976190476190476	0.833333333333333	1	0.7930514397883
1641	4-43	1	0.5	0.666666666666667	0.5	0.8	1	0.5	0.5	0.638095238095238	0.166666666666667	0.875	0.34106985064616
1642	2-86	0	1	1	1	1	1	1	1	1	0.333333333333333	1	0.646668172760832
1643	2-86	0	1	1	1	1	1	1	1	1	0.333333333333333	1	0.646668172760832
1644	2-67	0	1	0.833333333333333	1	1	1	1	1	0.976190476190476	0.833333333333333	1	0.7930514397883
1645	3-21	0	1	0.833333333333333	1	0.8	0.5	0.833333333333333	1	0.852380952380952	0.5	0.875	0.20947881327677
1646	3-41	0	1	1	1	1	0.5	1	1	0.928571428571429	0.333333333333333	1	0.746838930325375
1647	4-6	0	1	1	1	0.7	0.5	1	1	0.885714285714286	0.666666666666667	1	0.910788747135197
1648	2-73	0	1	1	1	1	1	1	1	1	0.5	1	0.862511601497231
1649	2-96	0	1	1	1	0.9	1	1	1	0.985714285714286	0.5	1	0.520307912789436
1650	4-41	0	1	0.833333333333333	1	0.9	1	1	1	0.961904761904762	0.5	0.875	0.498340905327447
1651	3-26	0	1	1	1	1	0.5	1	1	0.928571428571429	0.333333333333333	1	0.70534827734157
1652	2-44	0	1	1	1	1	1	1	1	1	0.5	1	0.747310216622351
1653	2-98	0	1	0.666666666666667	1	0.8	0.5	0.833333333333333	0.5	0.757142857142857	0.166666666666667	0.875	0.359277292632715
1654	2-38	0	1	1	1	1	1	1	1	1	0.5	1	0.605166307617009
1655	4-3a	0	1	1	1	0.8	0.5	1	1	0.9	1	1	0.825075056614033
1656	2-35	0	1	1	1	1	1	1	1	1	0.5	1	0.638041872034577
1657	3-52	0	1	1	1	0.8	0.5	1	1	0.9	0.833333333333333	1	0.798181160002729
1658	2-79	0	1	0.666666666666667	1	0.8	0.5	1	1	0.852380952380952	0.333333333333333	0.75	0.397561662034197
1659	3-21	0	1	0.833333333333333	1	0.8	0.5	0.833333333333333	1	0.852380952380952	0.5	0.875	0.20947881327677
1660	2-90	0	1	0.833333333333333	1	1	1	1	1	0.976190476190476	0.5	0.875	0.477795249281769
1661	3-45	0	1	1	1	0.7	0.5	1	1	0.885714285714286	0.666666666666667	1	0.896688004421474
1662	3-15	0	1	1	1	1	1	1	1	1	0.833333333333333	1	0.875876455336982
1663	2-70	0	1	1	1	1	1	1	1	1	0.333333333333333	1	0.678600593828992
1664	3-26	0	1	1	1	1	0.5	1	1	0.928571428571429	0.333333333333333	1	0.70534827734157
1665	3-17	0	1	1	1	0.8	0.5	1	1	0.9	1	1	0.796682686932731
1666	3-49	0	1	1	1	0.8	0.5	1	1	0.9	0.5	1	0.894416805012463
1667	3-21	0	1	0.833333333333333	1	0.8	0.5	0.833333333333333	1	0.852380952380952	0.5	0.875	0.20947881327677
1668	2-36	0	1	0.833333333333333	1	0.9	0.5	1	1	0.890476190476191	0.333333333333333	1	0.864300372030281
1669	3-45	0	1	1	1	0.7	0.5	1	1	0.885714285714286	0.666666666666667	1	0.896688004421474
1670	3-45	0	1	1	1	0.7	0.5	1	1	0.885714285714286	0.666666666666667	1	0.896688004421474
1671	3-21	0	1	0.833333333333333	1	0.8	0.5	0.833333333333333	1	0.852380952380952	0.5	0.875	0.20947881327677
1672	4-20	0	1	0.833333333333333	1	0.9	1	1	1	0.961904761904762	1	1	0.748217829493559
1673	4-49	0	1	1	1	0.7	0.5	1	1	0.885714285714286	0.833333333333333	1	0.719871127063917
1674	3-31	0	1	1	1	1	0.5	1	1	0.928571428571429	0.5	0.875	0.554361948871515
1675	3-21	0	1	0.833333333333333	1	0.8	0.5	0.833333333333333	1	0.852380952380952	0.5	0.875	0.20947881327677
1676	3-21	0	1	0.833333333333333	1	0.8	0.5	0.833333333333333	1	0.852380952380952	0.5	0.875	0.20947881327677
1677	3-54	0	1	1	1	0.7	0.5	1	1	0.885714285714286	0.666666666666667	1	0.722004718632978
1678	3-26	0	1	1	1	1	0.5	1	1	0.928571428571429	0.333333333333333	1	0.70534827734157
1679	3-35	0	1	1	1	0.8	0.5	1	1	0.9	0.333333333333333	1	0.319323331420128
1680	2-76	0	1	1	1	0.8	0.5	1	1	0.9	0.833333333333333	1	0.843534902321714
1681	2-36	0	1	0.833333333333333	1	0.9	0.5	1	1	0.890476190476191	0.333333333333333	1	0.864300372030281
