Canonical SMILES,name
O=C(C)O[C@@H]1[C@]2(C(O[C@@]3(C=C1)[C@@H]2[C@@H]([C@@]45[C@H]3CC[C@@](C(C4)=C)(C5)O)C([O-])=O)=O)C,2-47
O=C([C@H]1[C@@H]2[C@@](C)([C@H]([C@@H](C=C2[C@H]3[C@@]14CC([C@@](C4)(CC3)O)=C)O)O)C([O-])=O)NCc5ccco5,2-48
O=C([C@H]1[C@@H]2[C@]3([C@H]([C@@H](C=C2[C@H]4[C@@]15CC([C@@](C5)(CC4)O)=C)OC3=O)O)C)[O-],2-49
O=C([C@H]1[C@@H]2[C@@](C)([C@H]([C@@H](C=C2[C@H]3[C@@]14CC([C@@](C4)(CC3)O)=C)O)O)C([O-])=O)NC5CC5,2-50
O=C([C@H]1[C@@H]2[C@@](C)([C@H]([C@@H](C=C2[C@H]3[C@@]14CC([C@@](C4)(CC3)O)=C)O)O)C([O-])=O)NCc5cccs5,2-51
O=C([C@H]1c2c([C@@H]3[C@@]14CC([C@@](C4)(CC3)O)=C)cccc2C)[O-],2-52
O=C([C@H]1[C@@H]2[C@@](C)([C@H]([C@@H](C=C2[C@H]3[C@@]14CC([C@@](C4)(CC3)O)=C)O)O)C([O-])=O)NCCc5ccc6c(OCO6)c5,2-53
O=C([C@H]1[C@@H]2[C@@](C)([C@H]([C@@H](C=C2[C@H]3[C@@]14CC([C@@](C4)(CC3)O)=C)O)O)C([O-])=O)[O-],2-54
O=C([C@@H](CC([O-])=O)[NH2+]C[C@]12C(C[C@]3(C2)[C@H](c4c([C@H]3CC1)cccc4C)C([O-])=O)=O)[O-],2-55
O=C([C@H](CC([O-])=O)NC(CC[C@]1(C(CC[C@@H]2[C@@H]1C(C[C@@]3(C(CC[C@@H]23)=O)C)=O)=O)C)=O)[O-],2-56
O=C([C@]1([C@H]2[C@@]([C@@H]3C(C=C(CC3)C(C)C)=CC2)(CCC1)C)C)[O-],2-57
